period,number,color,date_folder
20250420100051692,4,red,20-04-2025
20250420100051691,6,red,20-04-2025
20250420100051690,5,green / violet,20-04-2025
20250420100051689,1,green,20-04-2025
20250420100051688,1,green,20-04-2025
20250420100051687,1,green,20-04-2025
20250420100051686,2,red,20-04-2025
20250420100051685,9,green,20-04-2025
20250420100051684,6,red,20-04-2025
20250420100051683,2,red,20-04-2025
20250420100051682,4,red,20-04-2025
20250420100051681,1,green,20-04-2025
20250420100051680,2,red,20-04-2025
20250420100051679,8,red,20-04-2025
20250420100051678,3,green,20-04-2025
20250420100051677,3,green,20-04-2025
20250420100051676,6,red,20-04-2025
20250420100051675,0,red / violet,20-04-2025
20250420100051674,1,green,20-04-2025
20250420100051673,4,red,20-04-2025
20250420100051672,5,green / violet,20-04-2025
20250420100051671,3,green,20-04-2025
20250420100051670,4,red,20-04-2025
20250420100051669,7,green,20-04-2025
20250420100051668,6,red,20-04-2025
20250420100051667,7,green,20-04-2025
20250420100051666,5,green / violet,20-04-2025
20250420100051665,6,red,20-04-2025
20250420100051664,8,red,20-04-2025
20250420100051663,0,red / violet,20-04-2025
20250420100051662,8,red,20-04-2025
20250420100051661,1,green,20-04-2025
20250420100051660,3,green,20-04-2025
20250420100051659,4,red,20-04-2025
20250420100051658,2,red,20-04-2025
20250420100051657,8,red,20-04-2025
20250420100051656,1,green,20-04-2025
20250420100051655,6,red,20-04-2025
20250420100051654,3,green,20-04-2025
20250420100051653,7,green,20-04-2025
20250420100051652,4,red,20-04-2025
20250420100051651,6,red,20-04-2025
20250420100051650,2,red,20-04-2025
20250420100051649,1,green,20-04-2025
20250420100051648,7,green,20-04-2025
20250420100051647,7,green,20-04-2025
20250420100051646,9,green,20-04-2025
20250420100051645,0,red / violet,20-04-2025
20250420100051644,7,green,20-04-2025
20250420100051643,3,green,20-04-2025
20250420100051642,2,red,20-04-2025
20250420100051641,3,green,20-04-2025
20250420100051640,5,green / violet,20-04-2025
20250420100051639,6,red,20-04-2025
20250420100051638,1,green,20-04-2025
20250420100051637,3,green,20-04-2025
20250420100051636,0,red / violet,20-04-2025
20250420100051635,6,red,20-04-2025
20250420100051634,0,red / violet,20-04-2025
20250420100051633,3,green,20-04-2025
20250420100051632,8,red,20-04-2025
20250420100051631,6,red,20-04-2025
20250420100051630,6,red,20-04-2025
20250420100051629,8,red,20-04-2025
20250420100051628,9,green,20-04-2025
20250420100051627,6,red,20-04-2025
20250420100051626,0,red / violet,20-04-2025
20250420100051625,7,green,20-04-2025
20250420100051624,3,green,20-04-2025
20250420100051623,3,green,20-04-2025
20250420100051622,7,green,20-04-2025
20250420100051621,0,red / violet,20-04-2025
20250420100051620,8,red,20-04-2025
20250420100051619,5,green / violet,20-04-2025
20250420100051618,1,green,20-04-2025
20250420100051617,5,green / violet,20-04-2025
20250420100051616,5,green / violet,20-04-2025
20250420100051615,5,green / violet,20-04-2025
20250420100051614,1,green,20-04-2025
20250420100051613,1,green,20-04-2025
20250420100051612,6,red,20-04-2025
20250420100051611,3,green,20-04-2025
20250420100051610,4,red,20-04-2025
20250420100051609,6,red,20-04-2025
20250420100051608,4,red,20-04-2025
20250420100051607,6,red,20-04-2025
20250420100051606,4,red,20-04-2025
20250420100051605,4,red,20-04-2025
20250420100051604,5,green / violet,20-04-2025
20250420100051603,2,red,20-04-2025
20250420100051602,2,red,20-04-2025
20250420100051601,0,red / violet,20-04-2025
20250420100051600,4,red,20-04-2025
20250420100051599,1,green,20-04-2025
20250420100051598,2,red,20-04-2025
20250420100051597,8,red,20-04-2025
20250420100051596,3,green,20-04-2025
20250420100051595,8,red,20-04-2025
20250420100051594,1,green,20-04-2025
20250420100051593,6,red,20-04-2025
20250420100051592,1,green,20-04-2025
20250420100051591,4,red,20-04-2025
20250420100051590,4,red,20-04-2025
20250420100051589,1,green,20-04-2025
20250420100051588,6,red,20-04-2025
20250420100051587,2,red,20-04-2025
20250420100051586,2,red,20-04-2025
20250420100051585,5,green / violet,20-04-2025
20250420100051584,8,red,20-04-2025
20250420100051583,7,green,20-04-2025
20250420100051582,3,green,20-04-2025
20250420100051581,9,green,20-04-2025
20250420100051580,1,green,20-04-2025
20250420100051579,2,red,20-04-2025
20250420100051578,7,green,20-04-2025
20250420100051577,7,green,20-04-2025
20250420100051576,3,green,20-04-2025
20250420100051575,2,red,20-04-2025
20250420100051574,6,red,20-04-2025
20250420100051573,9,green,20-04-2025
20250420100051572,7,green,20-04-2025
20250420100051571,9,green,20-04-2025
20250420100051570,6,red,20-04-2025
20250420100051569,5,green / violet,20-04-2025
20250420100051568,2,red,20-04-2025
20250420100051567,7,green,20-04-2025
20250420100051566,1,green,20-04-2025
20250420100051565,0,red / violet,20-04-2025
20250420100051564,9,green,20-04-2025
20250420100051563,1,green,20-04-2025
20250420100051562,1,green,20-04-2025
20250420100051561,7,green,20-04-2025
20250420100051560,1,green,20-04-2025
20250420100051559,1,green,20-04-2025
20250420100051558,3,green,20-04-2025
20250420100051557,6,red,20-04-2025
20250420100051556,8,red,20-04-2025
20250420100051555,7,green,20-04-2025
20250420100051554,4,red,20-04-2025
20250420100051553,4,red,20-04-2025
20250420100051552,2,red,20-04-2025
20250420100051551,2,red,20-04-2025
20250420100051550,1,green,20-04-2025
20250420100051549,8,red,20-04-2025
20250420100051548,9,green,20-04-2025
20250420100051547,1,green,20-04-2025
20250420100051546,8,red,20-04-2025
20250420100051545,8,red,20-04-2025
20250420100051544,0,red / violet,20-04-2025
20250420100051543,4,red,20-04-2025
20250420100051542,8,red,20-04-2025
20250420100051541,9,green,20-04-2025
20250420100051540,1,green,20-04-2025
20250420100051539,8,red,20-04-2025
20250420100051538,2,red,20-04-2025
20250420100051537,7,green,20-04-2025
20250420100051536,0,red / violet,20-04-2025
20250420100051535,7,green,20-04-2025
20250420100051534,7,green,20-04-2025
20250420100051533,7,green,20-04-2025
20250420100051532,5,green / violet,20-04-2025
20250420100051531,1,green,20-04-2025
20250420100051530,9,green,20-04-2025
20250420100051529,7,green,20-04-2025
20250420100051528,3,green,20-04-2025
20250420100051527,4,red,20-04-2025
20250420100051526,3,green,20-04-2025
20250420100051525,2,red,20-04-2025
20250420100051524,3,green,20-04-2025
20250420100051523,3,green,20-04-2025
20250420100051522,4,red,20-04-2025
20250420100051521,2,red,20-04-2025
20250420100051520,6,red,20-04-2025
20250420100051519,5,green / violet,20-04-2025
20250420100051518,1,green,20-04-2025
20250420100051517,5,green / violet,20-04-2025
20250420100051516,9,green,20-04-2025
20250420100051515,2,red,20-04-2025
20250420100051514,2,red,20-04-2025
20250420100051513,4,red,20-04-2025
20250420100051512,5,green / violet,20-04-2025
20250420100051511,6,red,20-04-2025
20250420100051510,1,green,20-04-2025
20250420100051509,0,red / violet,20-04-2025
20250420100051508,3,green,20-04-2025
20250420100051507,8,red,20-04-2025
20250420100051506,3,green,20-04-2025
20250420100051505,1,green,20-04-2025
20250420100051504,1,green,20-04-2025
20250420100051503,4,red,20-04-2025
20250420100051502,3,green,20-04-2025
20250420100051501,3,green,20-04-2025
20250420100051500,8,red,20-04-2025
20250420100051499,9,green,20-04-2025
20250420100051498,5,green / violet,20-04-2025
20250420100051497,8,red,20-04-2025
20250420100051496,0,red / violet,20-04-2025
20250420100051495,0,red / violet,20-04-2025
20250420100051494,4,red,20-04-2025
20250420100051493,0,red / violet,20-04-2025
20250420100051492,2,red,20-04-2025
20250420100051491,5,green / violet,20-04-2025
20250420100051490,6,red,20-04-2025
20250420100051489,0,red / violet,20-04-2025
20250420100051488,2,red,20-04-2025
20250420100051487,4,red,20-04-2025
20250420100051486,6,red,20-04-2025
20250420100051485,1,green,20-04-2025
20250420100051484,7,green,20-04-2025
20250420100051483,5,green / violet,20-04-2025
20250420100051482,7,green,20-04-2025
20250420100051481,2,red,20-04-2025
20250420100051480,5,green / violet,20-04-2025
20250420100051479,0,red / violet,20-04-2025
20250420100051478,9,green,20-04-2025
20250420100051477,0,red / violet,20-04-2025
20250420100051476,6,red,20-04-2025
20250420100051475,4,red,20-04-2025
20250420100051474,4,red,20-04-2025
20250420100051473,4,red,20-04-2025
20250420100051472,0,red / violet,20-04-2025
20250420100051471,3,green,20-04-2025
20250420100051470,2,red,20-04-2025
20250420100051469,9,green,20-04-2025
20250420100051468,9,green,20-04-2025
20250420100051467,7,green,20-04-2025
20250420100051466,1,green,20-04-2025
20250420100051465,2,red,20-04-2025
20250420100051464,1,green,20-04-2025
20250420100051463,6,red,20-04-2025
20250420100051462,2,red,20-04-2025
20250420100051461,3,green,20-04-2025
20250420100051460,7,green,20-04-2025
20250420100051459,3,green,20-04-2025
20250420100051458,4,red,20-04-2025
20250420100051457,6,red,20-04-2025
20250420100051456,5,green / violet,20-04-2025
20250420100051455,1,green,20-04-2025
20250420100051454,6,red,20-04-2025
20250420100051453,4,red,20-04-2025
20250420100051452,8,red,20-04-2025
20250420100051451,1,green,20-04-2025
20250420100051450,3,green,20-04-2025
20250420100051449,3,green,20-04-2025
20250420100051448,9,green,20-04-2025
20250420100051447,5,green / violet,20-04-2025
20250420100051446,1,green,20-04-2025
20250420100051445,3,green,20-04-2025
20250420100051444,8,red,20-04-2025
20250420100051443,2,red,20-04-2025
20250420100051442,5,green / violet,20-04-2025
20250420100051441,2,red,20-04-2025
20250420100051440,2,red,20-04-2025
20250420100051439,3,green,20-04-2025
20250420100051438,5,green / violet,20-04-2025
20250420100051437,6,red,20-04-2025
20250420100051436,1,green,20-04-2025
20250420100051435,5,green / violet,20-04-2025
20250420100051434,4,red,20-04-2025
20250420100051433,1,green,20-04-2025
20250420100051432,9,green,20-04-2025
20250420100051431,0,red / violet,20-04-2025
20250420100051430,3,green,20-04-2025
20250420100051429,9,green,20-04-2025
20250420100051428,2,red,20-04-2025
20250420100051427,1,green,20-04-2025
20250420100051426,0,red / violet,20-04-2025
20250420100051425,8,red,20-04-2025
20250420100051424,1,green,20-04-2025
20250420100051423,4,red,20-04-2025
20250420100051422,7,green,20-04-2025
20250420100051421,3,green,20-04-2025
20250420100051420,2,red,20-04-2025
20250420100051419,7,green,20-04-2025
20250420100051418,1,green,20-04-2025
20250420100051417,9,green,20-04-2025
20250420100051416,8,red,20-04-2025
20250420100051415,5,green / violet,20-04-2025
20250420100051414,8,red,20-04-2025
20250420100051413,5,green / violet,20-04-2025
20250420100051412,6,red,20-04-2025
20250420100051411,1,green,20-04-2025
20250420100051410,6,red,20-04-2025
20250420100051409,9,green,20-04-2025
20250420100051408,7,green,20-04-2025
20250420100051407,2,red,20-04-2025
20250420100051406,3,green,20-04-2025
